username,pk,full_name,follower_count,following_count,media_count,biography,category,external_url,is_private,is_verified
capsule.rentals,45038173549,capsule,2700,1100,91,"シネマカメラ&撮影機材レンタル・東京・渋谷
tokyo cinema camera rental",,http://capsule.rentals/,False,False
birtopunpesinde,52275051045,Bir Topun Peşinde,21404,39,1254,"""Her şeyin küçük bir başlangıcı vardır.""
Reklam ve iletişim için mesaj atmanız yeterli.
Yedek hesap: @btp_rezerv",,https://youtube.com/@birtopunpesinde,False,True
aroni.hossain,1101366496,ARONI HOSSAIN,95425,427,685,"🇨🇦
📧 hossainaroni@gmail.com
YouTube & Discount Codes ⤵️",,http://linktr.ee/aroni.hossain,False,False
hhj.x_.s,73266348233,,620,515,35,"🎓메이크업과 졸업
메이크업 국가 자격증, 미용 종합 면허증 보유
협찬, 문의 DM 💌
° 𐐪𐑂 ♡ 𐐪𐑂 ₒ
#코덕 #코덕맞팔",makeup,None,False,False
insight_biz,2492517371,비즈니스 인사이트,172868,5,12503,📧 비즈니스 문의 DM / 메일 : ad_team@insight.co.kr,,http://biz.insight.co.kr/,False,True
mocoming,989056,𝑴𝒐𝒄𝒐𝒎𝒊𝒏𝒈 / 모코밍,60468,695,4879," 아이폰스냅 찍는 밍작가 ◡̈ෆ
ꕤ 💍 @demarryming_snap 
ꕤ 👼🏻 @debebeming_snap 
ꕤ🧘🏻‍♀️ @pole_flyming",,https://link.inpock.co.kr/mocoming,False,False
_bam___bi,3176738635,煐,2835,686,94,타투계정 / @flora_tattooist,,None,False,False
fatylens,61115424222,المصـورة فـاطـمـة 📸✨,3337,2025,261,"Fatemah | Basra
تصويـر كافـة المناسبـات 📸
تصوير المنتجات 📸
توثيـق السعـادة 🦋✨
للحجـز والاستفسـار دايركـت 📥
واتسـاب | 07767898555",,None,False,False
nenoonn_official,70366090570,내눈N,6,1,4,"안심하고 온라인으로 렌즈 구매·배송 ✨
이제 콘택트렌즈도 합법적으로! 내눈N",contacts,https://nenoonn.app/home,False,False
ttd_eye,3273245933,TTDEYE COLORED CONTACT LENSES,1044678,1021,13242,"✨ Wear Your Glow
🌸 Celebrate Mother's Day!
✨ Special offers on TTDeye lenses
🎁 Use the code for extra savings!
👇 Shop Now
-
@ttdeyeofficial (cos)",,https://ttdeye.com/?utm_source=IG7,False,False
___nenecouture,420060267,菜々子୨ৎ,22576,936,1275,"⁡
｡ﾟﾟ･｡･ﾟﾟ｡
ﾟ。 𝗉𝗂𝗇𝗄 ⋮ 𝖽𝗂𝗌𝗇𝖾𝗒 ⋮ kanano ⋮ 𝖿𝖺𝗌𝗁𝗂𝗈𝗇 ⋮  𝗆𝗎𝗌𝗂𝖼𝖺𝗅 ~ ♡
  　ﾟ･｡･
すきな服着て、ラブリーに強く生きる 🐇🎀
⁡
戦慄かなのちゃんとミニーマウスのオタク❕
ハロウィンとイースターがすき 🩰◝✩
無断使用はやめてね 🛁🫧",,https://instabio.cc/nenecouture,False,False
some_rosy,57625362094,로지,1539,869,338,"평범하スΙ만 행복하게̆̎ ̀⁽ᵕ̈⁾ ́ 일상 뷰દા ⌝ᥣ록—̳͟͞͞♡
˗ˋˏ𝒄𝒐𝒏𝒏𝒆𝒄𝒕 - 𝒅𝒎ˎˊ˗
ʚ셔터브리티 3-4기ɞ
✿#메이크업국가자격증 
✿#코덕 #뷰티 #메이크업
ʚ♥ɞ 답방 및 맞팔 강요 X 답댓 느려요..ʚ♥ɞ",beauty,None,False,False
ariana__alicia,64030017318,Ari🌙,102332,250,16,"💌Collabs: DM or arianalicia55@gmail.com
🪼Reseño productos de belleza económicos
🌙México🇲🇽
🐬Cuenta de contenido anime @arianaliciam",,None,False,False
kristenhughesljs72109,73152223072,Kristen Hughes,0,0,33,,,None,False,False
sabinchu,2019340043,사빈,73049,461,206,@lafirstmodel,,None,False,False
crossover.music,5622684913,crossover,9997,1048,1104,"FACEBOOK : crossovermusic.me
WEB : crossovermusic.me
ติดต่อเรา : 0989010501",,https://youtu.be/wpbeZvjvjzo,False,False
yunitazhrtiara,53725947688,Yunita Zahrantiara,2077,922,218,"✨Beauty Content✨ 
Part of @beautychannel.id @beautyalliance.co @esqaddict @zescorp
Tiktok “yunitazahrantiara”
📩 Business Inquiries DM",,None,False,False
icolor.kr,4551284555,아이컬러 컬러리스트,24175,0,409,"퍼컬 안경끼고 알려주는 뷰티, 패션 소식
콘텐츠 제보는 댓글로 언제나 환영 ᯓᡣ𐭩
⠀
👇컬러리스트는 투잡 중,,,👷🏻‍♀️",beauty,https://linktr.ee/icolor.kr,False,False
jacobmotovlog,1553191491,Yakup ERASLAN,9025,770,12,"Motovlogger 
Videolar reels kısmındaymış 📹
Y ERASLAN SİGORTA ARACILIK HİZMETLERİ
İstanbul 🌉",,None,False,False
hazzi_market,5897789503,하찌마켓 𓅸,10016,674,5843,"Account run by mom
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
🧤진행중인 공구 제품 구매하기",,https://link.inpock.co.kr/jinsilhazzi,False,False
fleurs_confite,21271623075,花染 緋鞠,22694,231,710,"❤︎はなぞめ ひまりです🥛
❤︎めいくとこすめがすきです。
❤︎お仕事はメールにお願いします✉ ͗ ͗",,https://lit.link/Himari,False,False
_vr_photography._,73344682956,ᴠʀ ᴩʜᴏᴛᴏɢʀᴀᴩʜʏ,213,37,21,"""Capturing moments, creating memories 🖼️✨ ""
 
Owner : @john_don_bosco5 📸
Portraits | Events | Wedding Shoots 🪄
DM  to create your memories 📩",,None,False,False
jaylatofit,411725168,Jaylato🍦,174668,1909,2040,"Content Creator / 172CM /Runner🇹🇭🇨🇳   
Co-founder @reflectionbkk.wear
🎙@foodfitforfun.th 
🏃‍♀️10K : 55.25                          
 For work 👇",,https://openlink.co/jaylato,False,False
streetfoodluxury,2320902308,Deep Arora,27135,6403,1257,Food & Entertainment Journalist,,None,False,False
icoice.official,48993311445,ICOICE OFFICIAL,41507,551,845,"®️Official account of ICOICE Contacts and Eyelashes
🛍Natural and Cosplay colored lenses
👀CE&FDA Approved 
🌍Worldwide shipping
🛒Shop Here👇",,http://www.icoice.com/?utm_source=INS,False,False
lzservice,323598384,LZ Service - MODEST HIJAB BRIDE,38650,474,523,"“pelopor complexion kulit bawang”–DIDAFTARKAN HAK CIPTA & HAK PATEN
📍Bandung - Jabodetabek
WA +6282217226964 
DAFTAR KELAS ONLINE STREAMING 👇🏼👇🏼",,https://linktr.ee/onlineclass_lzservice.id,False,False
drjenwademan,2161154040,Dr. Jen Wademan | Optometrist,31500,1600,534,"📍CA eye doc / Practice owner
✨Eyes on the bright side
👁️Insights, tips & laughs
📖Ft. @refinery29 @real_simple @dailymail @modoptometry
✚ @wearfigs fam",,http://linktr.ee/drjenwademan,False,True
the.yeppeujia,1099871411,더 예쁘지아 • 김근영,23912,2513,7663,"❥ 전라도에 살고있는 근영언니 ʕ·͡ˑ·ཻʔ ♥
☁️
여드름 피부에서 스킨케어 하나만으로
물광 피부 환생 ✨ 예쁘지아만 따라와 ⁰̷̴͈꒨⁰̷̴͈
☁️
<ᴏᴘᴇɴ>  쑥선세럼 1+1 파격이벤트, 꿀떡미스트
• 
•
🔜 미니 식빵 🍞
•
🔗 link 🧸🤎",,https://inpk.link/theyeppeujia,False,True
so.phia_namu102,55603342037,소피아 /  북스타그램 | 책육아 | 책추천,2089,2036,538,"😋 책 맛나다! 책맛집!
📚 소중한 이들과 나누고픈 책 이야기
📚 깨발랄 소피아, 개구쟁이 코난과 함께하는 책육아",,None,False,False
__diditee__,304884398,Declann Drostan Tan | Content Creator,132369,2928,418,"-Video content creator 🎥
-Based in Singapore 🇸🇬
-Diditee.co@gmail.com ✉️
-@nadhafr💕
Products and presets down below! 👇",,https://youtube.com/@_diditee_?si=7B8qOe_6liKNgRaC,False,True
namuriki,63530680934,나무리키 | 팝업 • 소품샵 • 이색 체험,41745,374,256,"🐾알차고 재밌는 히든 스팟 발굴 중!
🍬다양한 총정리본 지도 무료 배포  ˗ˋˏ♥ˎˊ˗
📧문의 : DM or sjkim0619@naver.com",,http://litt.ly/namuriki,False,False
nari_an3,794339444,𝓝𝓪𝓻𝓲🦋,460,110,52,"Just a little bit of my life ♡
📍🇹🇭
TikTok: Nari_an 
💌 Nari.an0social@gmail.com",,https://youtube.com/@nari_an?si=vHCDTRXpneNwPC8k,False,False
jj0ng_garlic,74074587376,쫑이,9,2,23,"2025.02  쫑이 성장기록장🤎 
aka 치베르만
----------------------
(쥔장이 쫑이 극성팬임)",,None,False,False
lady_pretty_space,53097899980,여자들이 예뻐지는 공간(여예공),51826,0,995,"여자들의 다양한 뷰티/패션/꿀팁은 여예공💖
광고 및 모든 문의는 DM 💌
 
👇문의 많은 제품 정보",beauty,https://linktr.ee/lady_pretty_space,False,False
widlens_dongrae,23396675299,글라스원 위드렌즈 동래점,487,452,67,"𝘿𝙚𝙨𝙞𝙜𝙣 𝙔𝙤𝙪𝙧 𝙊𝙬𝙣 𝙀𝙮𝙚𝙨𝙩𝙮𝙡𝙞𝙣𝙜, 𝙒𝙄𝘿𝙇𝙀𝙉𝙎
#렌즈맛집 #안경맛집 #위드렌즈 
🧡 051-558-6662
💛Open 9:30 / Close 20:00
💚매월 2,4째주 일요일 정기휴무
💙금강공원로 5-1 (롯데리아 옆)
💜온천장역 1번출구 338m",contacts,http://www.widlens.com/,False,False
fuuuuu215,31253284087,ぷか,52048,362,472,"・𝕋𝕠𝕜𝕪𝕠 / 𝕁𝔸ℙ𝔸ℕ
❤︎ SHEGLAM prモデル
❤︎ veimiaモデル
❤︎ VT prモデル
snsはインスタのみ
＊お仕事依頼などお気軽に𝔻𝕄かメール下さい💌
撮影は商業用のみ
・",,https://www.veimia.com/?utm_source=instagram&utm_medium=homepage&utm_campaign=huka,False,False
_khaldarrr,68292255600,Khalda,1215,1207,9,"acne prone skin  
@beautychannel.id @sahara.agencyy @girlsssupp_ @esensessquad @koldotid @mod.managementofc #PartofBNation",,None,False,False
nazaroptic.esfahan,45319372191,Nazar Optic عینک نظر 👓🕶,501,80,216,"فروش عینک طبی وآفتابی
 دید درشب
 انواع عینک های ورزشی🥽
"" عدسی با بهترین کيفيت""
ساخت عینک دوکانونه,تدریجی,طبی آفتابی
لنز رنگی و طبی
📞0313 6279309",,None,False,False
camera_scan_official,45450661337,"New cameras,used camera,camera rentals",278246,6,1920,"Since 1994 
📸Used and new cameras available 
📸Seconds and rentals:8301870721
📸Fresh and service :9188526787
@abel_george_24
@camerascandubai",,https://youtu.be/-A5f7k2n2l4,False,False
mimi__hye,7260503845,ᴍɪᴍɪ 미미 ୨୧,34970,132,1978,"𓇢𓆸 
ʙᴇᴀᴜᴛʏ | ᴅᴀɪʟʏ | ᴍᴀᴋᴇ-ᴜᴘ
💌 mimihye6180@naver.com
👇🏻 ʙʟᴏɢ",,https://in.naver.com/mimi__hye,False,False
davich_geumcheon,62004125717,다비치안경 금천점,144,114,83,"영업시간 : 10:00-21:00
매장 & 주차 : 서울시 금천구 시흥대로 415 1층",,https://naver.me/FS6vNYGs,False,False
nichizhuu,3302499746,𐙚Nichi,28157,630,22,"𐙚 beauty enthusiast!~ฅ^•ﻌ•^ฅ
𐙚 part of @tasyamanagement 🎀ྀིྀི
𐙚 ❥krsnnda₊⊹♡
𐙚 business inq: 📮+62 856 9311 1242🐰ྀིೀ",,https://nichizhu.my.canva.site/,False,False
shilviard,7911743619,Cecyl | Beauty Enthusiast✨,3845,2056,270,"📍Sukabumi
📩 Business Inquiries🧚🏻‍♀️
‼️CURI KONTEN DENDA 10JUTA‼️
@greatglory.id @beautyalliance.co @beautychannel.id @zescorp 🎀",,https://www.tiktok.com/@silperkuinzz,False,True
swaticosmetics,9044263529,SWATI Coloured Lenses ®,283270,4,2619,"👁️Coloured lenses | Natural Looking 
✨Sold at Sephora, Douglas, Kicks, Nykaa 
📌 tag #swaticosmetics to be featured
👇 Special discount in link below",,http://www.swati.com/insta,False,True
beauty_log__,42171372109,beauty_log__,1506,853,609,"💄코덕맞팔, 블로그이웃-> ⭐️꼭! DM 
💌: DM & tmdgml8253@naver.com
#코덕맞팔 #코덕스타그램 #코덕환영 #눈스타그램",,None,False,False
new_staff_hiba,71090736567,hiba,112,440,371,I have thousands of Am@zon and w@lmrt fr_eepro_ducts for testers of US 🇺🇲UK 🇬🇧 CANADA🇨🇦 GERMANY 🇩🇪 ITALY 🇮🇹 FRANCE 🇫🇷 DM to grab,,None,False,False
feed_korea,21501802970,피드코리아,106221,10,6606,"지금 무슨일이 일어나고있을까?🤔 > 피드코리아
.
🛎️홍보 및 제휴/협업문의 > DM",,None,False,False
zoeadam_._z_8_,58216313118,ᴄᴏᴜɴᴛʀʏ,2603,1387,287,"☀️눈에만 담아두기 아까우니까
콧바람은 나의 에너지🔋😆",,None,False,False
shimmershades_by_trivi,72893255056,Trivi❤️  | Makeup artist 🎨 |,161,35,18,"🎖️Certified Mua👑
⚕️Natural beauty enhancer ✨ 
🔹Makeup🔹 Hairstyling 🔹Sareedraping
📍 chennai
❗DM for bookings💖",,None,False,False
insight_trend,10991098750,인사이트 트렌드,81438,385,10227,📧 비즈니스 문의 DM / 메일 : ad_team@insight.co.kr,,http://www.insight.co.kr/,False,False
spazioj,343037400,SpazioJ,209839,75,24114,"📍Giornale online🗞⚽️
📝News, esclusive, approfondimenti, calciomercato, retroscena🧐
Segui la tua passione per la #Juventus ⚪️⚫️",,http://www.spazioj.it/,False,False
theshutter_films,1449224147,The Shutter,19732,875,2273,"Malaysia based vintage film camera seller
Find me at
https://www.carousell.com.my/u/the_shutter/",,https://www.carousell.com.my/u/the_shutter/,False,False
vibe_item,57521655597,,84722,0,1925,"정말 열심히 찾아놨으니
제품번호 검색해 보세요
⬇️⬇️⬇️⬇️⬇️⬇️",,https://vibeitem.softr.app,False,False
aya_abdelfatah_makeupartist,990422241,Aya abdel fatah - Makeup Artist,111234,922,1137,"MUA - DANCING WITH PALLETS 🎨
📍DUBAI
BELIEVER
 ❤️وَمَا بِكُم مِّن نِّعْمَةٍ فَمِنَ اللَّه
Email 📧 ayaabdelfatah0mua@gmail.com
🇪🇬🇦🇪🇲🇻",,https://www.tiktok.com/@aya_abdelfatah_mua?_t=8eS5sNn1V1Z&_r=1,False,True
eeeeke.mag,73478961710,eeke 이케 매거진,527,134,22,"ꜰᴀꜱʜɪᴏɴ · ʟɪꜰᴇꜱᴛʏʟᴇ · ᴛʀᴇɴᴅ
𓆩 ❤︎ 𓆪 DM / eekemag@gmail.com
⠀
⠀⠀⠀⠀⠀⠀⠀⤹⠀요기 팔로우하고 이케 한번 입어봐 ‎˖ 𝜗𝑒 ‧₊˚",,None,False,False
eyeluv.sokcho,46767226934,다비치안경 속초중앙로점,227,262,390,"-  DM 문의 가능
-  매장 뒷편 무료 주차장 이용 가능
☎️ 033) 636 - 1359
-  @dvc.lens.sokcho
-  kakao : 다비치안경 속초중앙로점",,http://pf.kakao.com/_RxhBEs,False,False
arah.xxo,4343938194,Arah,4520,1724,72,"Beauty | Lifestyle | open for collabs & reviews. DM for inquiries^ Bandung 🇲🇨 part of @koldotid 
𐙚 ᧔𐓪᧓ ♡",,https://id.shp.ee/ck52u8c?smtt=0.0.9,False,False
lugiinayossi,2077549066,,3418,1000,25,ما شاء الله,,None,False,False
rang_yeon,3286733840,ʀᴀɴɢ_ʏᴇᴏɴ's ᴄᴏsᴍᴇᴛɪᴄs(랑연),2143,784,936,"아이메이크업과 렌즈를 좋아하는 21-22호 #봄웜라이트 🍑              
#코덕맞팔 DM 주세요💄
💌협찬 및 문의 𝗗𝗠 𝗼𝗿 𝗘-𝗺𝗮𝗶𝗹",contacts,https://link.inpock.co.kr/ac01235,False,False
crystalbennett64,72207169404,Crystal Bennett,524,411,97,"Beauty Blogger/Traveler/Amazon Product lover/Mom and Wife 
DM for Freebies And Promotions 
I love Taxes🇺🇸",,None,False,False
samsungeye_official,69609610551,"당신의 꿈을 봅니다, 삼성안과",6734,1604,64,"💡밝은 눈 연구소 
#잠실 #라식라섹 #노안백내장
#드림렌즈 #안구건조 #눈물흘림 #망막질환 
서울 송파구 올림픽로 114 서경빌딩 7층
☎️ 전화 : 02.424.7523
📩 카톡 : 삼성안과의원 
📺 youtube 채널 : 잠실삼성안과",contacts,http://link.inpock.co.kr/samsungeye_official,False,False
winc_app,2235403118,윙크 WiNC,43820,18,566,"앱으로 만나는 인생렌즈 👁✨
윙크로 예약하고 집앞 안경원에서 만나요
.
🔎지금 앱스토어에서 윙크를 검색하세요!
⬇️신규 가입시 5천원 쿠폰 즉시발급",contacts,https://winc.page.link/wincIG,False,False
pouch_in_jeje,3978047894,제제파우치,49672,967,2143,"jyoon0110@naver.com 
(DM확인 어려워요🥲)",,https://linktr.ee/pouch_in_jeje,False,False
healingswords,55273446495,Azi,398165,2,1864,"Healing I Happiness | self-Love U
""You didn't break my heart; you freed it.""
Kindly DM for credit or removal
own by @whoopydigital",,https://unacademy.openinapp.co/jee-aarambh2025,False,False
oldfactory,9591627,안명전,476,2228,719,"🎞 Bessaflex TM /📷 Sigma sd quattro, Pentax K-3, Pentax K-3 mark3, Sony NEX-6",,https://koreanold.com,False,False
pinpage_official,67742280343,📍핀페이지 PINPAGE,31644,0,876,"즐거운 일상과 덕질에 진심이라면!
같이 만들어요, 세상에서 제일 재밌는 페이지 🤳",,None,False,False
aline_ahmar,201445714,Aline Ahmar,76064,393,1829,"Actress & Comedian 🎭 
Tv host @mtvlebanon 
Sole Agent for CINEMA @cinema.zinas🇬🇷",,https://www.tiktok.com/@alineahmar?_t=8muvu2M9fjl&_r=1,False,True
dimple.color,32782067485,Dimple Color Contact Lenses,109919,946,721,"NEW Lunar Eclipse Collection 🌖✨
Designed in AUS 🐨
FDA, TGA and CE certified",,https://linktr.ee/dimplecolor,False,False
yuto_ims,543769598,黒澤優兎𓃹𝐘𝐔𝐓𝐎𓇼𓀤𓆉,102694,440,2693,"💎𝒎𝒐𝒅𝒆𝒍ꕤ︎︎·͜·  ︎︎【無所属】お仕事依頼はDMへ💎
⛷SAJスキー1級
♨️温泉ソムリエ🫧温泉スパ健康アドバイザー 
(芸歴)PARCOカタログモデル、日テレバラエティ、東京MXTV番組 等々…
🏕ソロキャンプマイブーム🌳
抜群な美肌の持ち主✨️
#美容 #温泉  #キャンプ #旅",,https://mobile.twitter.com/yuto_ims,False,False
zz_chloe_,644174168,정지히,26810,966,97,"Hi I’m zz🙃
그냥구냥 지히의 알록달록 일상💜😛
💌협찬/광고 문의: DM",,None,False,False
everyday__happiness__,6100863710,웃고삽시다❣️,59164,1483,3571,"⑅팔로우 및 좋아요➡➡ @everyday__happiness__
⑅유머 이슈 공감글 웃긴영상
⑅⑅⑅협찬,광고 다~~받아요~ㅋㅋ⑅⑅⑅",,None,False,False
dubunae,517091881,슬구❤️ (민수:16.08.08🙈),96622,1690,1648,"민수&두부.미키 엄마🙆 
sseulgu88@naver.com",,https://blog.naver.com/sseulgu88,False,False
berry_berryin,1695005711,🌺혜리니🌺,95538,301,298,"유료촬영,광고,협찬 DM",,None,False,False
songtaneye,72735256590,정석원,13,0,35,"👀백내장,망막,녹내장,건조
📍 경기도 평택시 탄현로 58 강희프라자 2F
👩‍💻songtaneye.com",,None,False,False
shree_krishna__vani_,54258053482,🦚कृष्ण वाणी 🦚,14956,17,5449,"‼️कृष्ण वाणी 
‼️ सुविचार
‼️भक्तिमय वीडियो
‼️बंसी सब सुर त्यागे है, एक ही सुर में बाजे है,, हाल ना पूछो मोहन का, सब कुछ राधे राधे है।।
💞राधे राधे 📿",,https://ig.me/j/AbbuxgGYyd6FJO98/,False,False
_lenssis,5601535888,LENSSIS 렌시스,74733,8,3376,"Anytime, Anywhere
🚚365일 집 앞까지 배송-!",,https://vo.la/tGzTxL,False,False
play_with_unni,12068417438,언니랑 놀자,88436,9,6699,"💖기발한레시피, 멋진여행지, 신상템리뷰, 이색간식리뷰, 꿀팁 정보 받아가세요💖
협업, 제휴 및 광고 문의 DM주세요📩",,None,False,False
_ripink_2,52974298646,りっぴ ❤︎,4451,2156,399,"🩷 イエベ春  
🫧 スキンケア & コスメレビュー  
🍒 毎日の美容ライフをより素敵にෆ˚*
💌 ご依頼はDMでお願いします  
💭 同じ美容好きな方、お気軽にフォローしてください🐰🌙",,https://lipscosme.com/users/8145589,False,False
yuju0__2,44926910542,,593,129,36,,,None,False,False
lvhbeautycosmetics,12286825234,lvhbeautycosmetics,42337,1180,3366,"Soft natural contact lenses and lash...your beauty, our priority
Luxury cosmetic brand 
Follow @lvhbeautyy
.
Contact us for distributorship",,None,False,True
perspecseyecare,73518412250,Perspecs Eyecare Myopia Control Centre,126,57,16,"Optometrist 
Cater both optical and contact lenses(orthokeratology) solutions
Eyecare services 
Troubleshooting single vision & progressive",,None,False,False
naturaeyescontact,64506398926,Natura-Eyes Contact,628,7488,299,"🇨🇦 Naturaeyescontact.com
⚜️ LOOK Natural |  long-lasting | soft lens 
⚜️Lentilles 12 mois Ultra confortable 
🌎 Free Livraison Worldwide Shipping",,https://www.naturaleyescontact.com,False,False
leeseo_.02,64402478689,이서,9005,498,84,Contact Dm ✉️,,None,False,False
color.full.mika,365416974,미카,48699,853,1263,"일상툰, 일러스트
협업문의💌: cosmikkaa@naver.com",,https://youtube.com/channel/UCdoEIt9CsG2cB3TZXHP97fQ,False,False
jan16th__,651212571,근나,112212,678,361,비즈니스 문의💭business@ag-ent.net,,https://linktr.ee/jan16th__,False,False
eyemua_official,66900187614,eyemua contact lens,8998,26,435,"🌸Jelly For Your Eyes
💐 Shine Like Mom- Soft, Strong & Stunning
🐰 4 pairs for just $39.99! 
👇 Shop Now and Bloom with Us!",,https://bit.ly/3NLREu0,False,False
7coslens,13543327299,七七Cosplaylens|Cospaly美瞳|台灣Cos隱眼|香港Cos,24051,2855,2623,"✦台灣好評率最高的cos隱眼商家
FB粉絲頁🔎七七Cosplay專用隱眼美瞳
1:1客服💁🏻可發角色圖片推薦同款隱眼
全館免運📦超商7-11全家取付&郵寄到家
⠀⠀⠀⠀⠀⠀
隱眼需預購/下單後約12天可拿到唷
香港順豐郵費$30 大马邮费RM8
官方Line👇worldwide shipping🇺🇸",,https://lin.ee/umWtQRZ,False,False
_happyrin_,7319312007,,587,220,85,"🎹♪
@_heee9_ 🐯🫶🏻",,None,False,False
peaceful.mind_oasis,57627641083,마음의 오아시스,3926,1563,467,"🌴 일상 속 작은 휴식
🧘‍♀️ 마음 챙김과 스트레스 해소
💆 셀프 케어와 명상의 시간
🌿 내면의 평화를 찾는 여정
✨ 당신의 마음에 여유를 선물합니다",,https://officialmarketing.co.kr/,False,False
brightin.star,47839949517,Brightin Star,16498,245,896,"📸We see. We capture. We got.
📧 brightinstarofficial@gmail.com
🎵:brightin_star
⤵️Find us",,http://linktr.ee/brightinstar,False,False
parismiki_sg,7603233685,Optique Paris Miki Singapore,991,21,603,Paris Miki Since 1974,,https://www.facebook.com/100085175404408/posts/pfbid0BMxWADX2yWyAxHcnBt5s92K5pp9wZgoywiYGNH9MQRp3jfYMVwmvYauGMGYSF5CBl/?mibextid=cr9u03,False,False
tanaka_tatsuya,162734,Tatsuya Tanaka 田中達也,4006091,786,6235,"Miniature & Mitate Artist
I make miniature art every day.",,https://miniature-calendar.com,False,True
dalcom_cat,643370564,,35150,1755,537,"📺 #dalcom_cat
📷 #Beauty #Fashion #Daily
🚫 Do not hesitate to contact me, if you have any questions.",,None,False,False
eiyanlens,48027473916,Eiyan Lens,944,69,68,"Eiyan Lens — the affordable, comfortable, and PFAS-Free monthly contact lens you’ve been looking for.",,http://www.eiyanlens.com,False,False
mind_surutsawadee,17771768,𝙈𝙞𝙣𝙙 𝙨𝙪𝙧𝙪𝙩𝙨𝙖𝙬𝙖𝙙𝙚𝙚,274089,1414,4661,"(っ◔◡◔)っ 𝒯𝒽𝒶𝓃𝓀 𝓎𝑜𝓊. 𝐹𝑜𝓁𝓁𝑜𝓌 𝓂𝑒 ❤
ติดต่องานเท่านั้น Line @754suztk",,None,False,False
boomx372,72221805342,느낌표,16899,0,287,!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,,None,False,False
won_3232,1633852333,원이,5614,860,332,"Contact dm 🫶
오월스 주인",,None,False,False
lovely___yul,946856,무소율♡,44289,191,871,,,None,False,False
